Mesure (Unité de mesure combinée)_x,Domaine,Année,Nombre d'emplois,Mesure (Unité de mesure combinée)_y,Paramètre,Valeur
Emploi dans les activités de l'économie verte,Eco-activités,2008,483281.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Eco-activités,2008,483281.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Eco-activités,2008,483281.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Protection de l'environnement,2008,225531.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Protection de l'environnement,2008,225531.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Protection de l'environnement,2008,225531.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Air,2008,8372.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Air,2008,8372.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Air,2008,8372.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Eaux_usées,2008,59768.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Eaux_usées,2008,59768.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Eaux_usées,2008,59768.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Déchets,2008,85417.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Déchets,2008,85417.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Déchets,2008,85417.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Déchets_radio,2008,3546.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Déchets_radio,2008,3546.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Déchets_radio,2008,3546.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Sols et masses d'eau,2008,38919.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Sols et masses d'eau,2008,38919.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Sols et masses d'eau,2008,38919.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Bruit,2008,6873.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Bruit,2008,6873.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Bruit,2008,6873.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,"Nature, biodiversité, paysages",2008,22635.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,"Nature, biodiversité, paysages",2008,22635.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,"Nature, biodiversité, paysages",2008,22635.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Gestion des ressources naturelles,2008,182238.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Gestion des ressources naturelles,2008,182238.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Gestion des ressources naturelles,2008,182238.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,gestion_eau,2008,3953.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,gestion_eau,2008,3953.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,gestion_eau,2008,3953.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,gestion_forêt,2008,11711.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,gestion_forêt,2008,11711.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,gestion_forêt,2008,11711.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,recup,2008,24950.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,recup,2008,24950.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,recup,2008,24950.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,EnR,2008,56744.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,EnR,2008,56744.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,EnR,2008,56744.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Maîtrise énergie,2008,84880.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Maîtrise énergie,2008,84880.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Maîtrise énergie,2008,84880.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Activités transversales,2008,75512.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Activités transversales,2008,75512.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Activités transversales,2008,75512.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,Ingénierie,2008,10705.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,Ingénierie,2008,10705.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
Emploi dans les activités de l'économie verte,Ingénierie,2008,10705.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67
Emploi dans les activités de l'économie verte,R&D,2008,20594.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58
Emploi dans les activités de l'économie verte,R&D,2008,20594.0,Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74
