Macro-secteur;Filière;Détail ;Année;Marchés d'investissements intérieurs (M€);Marché - Fabrication des équipements en France pour marché intérieur (M€);Marché - Importation des équipements (M€);Marché - Vente et distribution des équipements (M€);Marché - Construction, installation, raccordement (M€);Marché - Montage de projets, études, DPE (M€);Marché - Exploitation-maintenance, vente intérieure d'énergie (M€);Marché - Exportation (équipements et/ou biocarburants) (M€);Marché - Total (M€);Emplois liés aux investissements;Emploi - Fabrication des équipements pour marché intérieur (ETP);Emploi - Vente et distribution des équipements (ETP);Emploi - Construction, installation, raccordement (ETP);Emploi - Montage de projets, études, DPE (ETP);Emploi - Exploitation-maintenance, vente intérieure d'énergie (ETP);Emploi - Exportations (équipements et/ou biocarburants) (ETP);Emploi - Total (ETP)
Bâtiment;Solaire thermique;En rénovation;2006;246;71;27;13;135;0;24;0;270;2 660;330;140;2 190;0;210;0;2 870
Bâtiment;Solaire thermique;En rénovation;2007;247;73;26;12;136;0;31;0;278;2 660;350;140;2 170;0;260;0;2 920
Bâtiment;Solaire thermique;En rénovation;2008;291;86;30;15;160;0;38;0;329;2 870;330;170;2 370;0;320;0;3 190
Bâtiment;Solaire thermique;En rénovation;2009;216;59;26;12;119;0;41;0;257;2 040;260;140;1 640;0;340;0;2 380
Bâtiment;Solaire thermique;En rénovation;2010;197;50;27;11;109;0;45;0;242;1 840;230;110;1 500;0;380;0;2 220
Bâtiment;Solaire thermique;En rénovation;2011;172;52;17;8;95;0;47;0;219;1 610;250;80;1 280;0;390;0;2 000
Bâtiment;Solaire thermique;En rénovation;2012;127;42;10;5;70;0;45;0;172;1 150;190;30;930;0;380;0;1 530
Bâtiment;Solaire thermique;En rénovation;2013;83;27;7;3;46;0;44;0;127;780;130;30;620;0;370;0;1 150
Bâtiment;Solaire thermique;En rénovation;2014;66;22;6;2;36;0;46;0;112;620;110;20;490;0;380;0;1 000
Bâtiment;Solaire thermique;En rénovation;2015;59;16;6;2;35;0;48;0;107;530;90;20;420;0;390;0;920
Bâtiment;Solaire thermique;En rénovation;2016;66;17;7;2;40;0;53;0;119;540;90;20;430;0;430;0;970
Bâtiment;Solaire thermique;En rénovation;2017;92;24;9;4;55;0;54;0;146;780;120;30;630;0;440;0;1 220
Bâtiment;Solaire thermique;En rénovation;2018;129;31;14;5;79;0;55;0;184;1 070;140;50;880;0;450;0;1 520
Bâtiment;Solaire thermique;En rénovation;2019;123;32;11;5;75;0;56;0;179;990;140;50;800;0;460;0;1 450
Bâtiment;Solaire thermique;En rénovation;2020;165;42;16;7;100;0;61;0;226;1 360;170;60;1 130;0;500;0;1 860
Bâtiment;Solaire thermique;En rénovation;2021;172;44;16;7;105;0;67;0;239;1 380;180;60;1 140;0;550;0;1 930
Bâtiment;Solaire thermique;En rénovation;2022;213;53;23;8;129;0;72;0;285;1 680;200;70;1 410;0;590;0;2 270
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2006;899;382;63;233;221;0;768;0;1 667;9 030;2 220;4 010;2 800;0;5 390;0;14 420
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2007;735;317;54;168;196;0;869;0;1 604;7 200;1 890;2 910;2 400;0;5 380;0;12 580
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2008;907;396;63;208;240;0;1 005;0;1 912;8 680;2 320;3 530;2 830;0;6 060;0;14 740
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2009;820;338;79;176;227;0;968;0;1 788;7 570;2 030;2 960;2 580;0;5 780;0;13 350
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2010;812;322;99;164;227;0;1 270;0;2 082;7 120;2 030;2 800;2 290;0;7 110;0;14 230
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2011;741;290;86;151;214;0;1 069;0;1 810;6 490;1 860;2 550;2 080;0;5 880;0;12 370
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2012;826;309;117;157;243;0;1 325;0;2 151;6 740;1 950;2 620;2 170;0;6 920;0;13 660
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2013;1 031;351;176;202;302;0;1 998;0;3 029;8 640;2 270;3 410;2 960;0;9 240;0;17 880
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2014;838;275;153;151;259;0;1 818;0;2 656;7 050;1 770;2 690;2 590;0;8 290;0;15 340
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2015;811;271;134;159;247;0;1 789;0;2 600;6 660;2 070;2 270;2 320;0;8 470;0;15 130
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2016;755;235;139;145;236;0;2 033;0;2 788;5 840;1 680;2 060;2 100;0;9 600;0;15 440
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2017;801;221;168;161;251;0;2 185;0;2 986;6 070;1 490;2 170;2 410;0;10 130;0;16 200
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2018;878;259;190;165;264;0;2 110;0;2 988;6 340;1 620;2 160;2 560;0;9 740;0;16 080
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2019;913;282;199;173;259;0;2 199;0;3 112;6 590;2 000;2 190;2 400;0;10 190;0;16 780
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2020;780;206;193;139;242;0;2 192;0;2 972;5 650;1 440;1 830;2 380;0;9 700;0;15 350
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2021;1 147;291;298;226;332;0;2 515;0;3 662;7 600;1 990;2 620;2 990;0;10 850;0;18 450
Bâtiment;Appareils domestiques de chauffage au bois ;En rénovation;2022;1 515;355;436;274;450;0;2 844;0;4 359;9 070;1 840;3 180;4 050;0;10 580;0;19 650
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2006;688;94;27;232;335;0;22;0;710;4 500;640;1 800;2 060;0;220;0;4 720
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2007;966;78;89;333;466;0;34;0;1 000;5 700;420;2 480;2 800;0;340;0;6 040
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2008;2 161;223;60;665;1 213;0;57;0;2 218;10 570;970;4 060;5 540;0;510;0;11 080
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2009;1 809;347;44;663;755;0;78;0;1 887;12 140;1 850;5 730;4 560;0;620;0;12 760
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2010;1 543;190;187;569;597;0;92;0;1 635;10 530;1 260;5 080;4 190;0;730;0;11 260
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2011;1 191;161;171;457;402;0;106;0;1 297;8 950;1 070;4 450;3 430;0;900;0;9 850
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2012;1 041;153;148;379;361;0;118;0;1 159;7 910;1 100;3 800;3 010;0;960;0;8 870
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2013;887;150;136;322;279;0;128;0;1 015;6 540;1 090;3 160;2 290;0;1 060;0;7 600
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2014;1 027;137;177;347;366;0;141;0;1 168;7 380;960;3 470;2 950;0;1 140;0;8 520
Bâtiment;PAC aéro domestiques et CET;Pompes à chaleur (PAC) aérothermiques domestiques et Chauffe-eau thermodynamiques (CET), en rénovation.;2015;960;166;151;321;322;0;155;0;1 115;6 980;1 280;3 020;2 680;0;1 290;0;8 270
