0,1,2,3,4,5,6,7,8
Agriculture,Btp,Construction automobile,Energie,Industrie (Hors Automobile),Services Marchands,Services Publics,Transports,Total
"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"-14,15","0,00","-14,15","-18,87","-117,92","-150,94","0,00","0,00","-316,04"
"-23,58","23,58","-14,15","-18,87","-273,58","-264,15","-9,43","-37,74","-617,92"
"-37,74","42,45","-18,87","-18,87","-400,94","-429,25","-14,15","-42,45","-919,81"
"-47,17","51,89","-37,74","-18,87","-500,00","-599,06","-14,15","-47,17","-1212,26"
"-51,89","56,60","-42,45","-18,87","-570,75","-735,85","-28,30","-70,75","-1462,26"
"-56,60","51,89","-47,17","-18,87","-627,36","-863,21","-28,30","-84,91","-1674,53"
"-51,89","37,74","-51,89","-18,87","-665,09","-962,26","-18,87","-89,62","-1820,75"
"-56,60","4,72","-66,04","-18,87","-683,96","-995,28","-42,45","-80,19","-1938,68"
"-51,89","-14,15","-70,75","-18,87","-698,11","-1037,74","-37,74","-89,62","-2018,87"
"-37,74","-66,04","-75,47","-18,87","-716,98","-1056,60","-23,58","-99,06","-2094,34"
"-42,45","-117,92","-80,19","-18,87","-716,98","-1061,32","-14,15","-99,06","-2150,94"
"-37,74","-174,53","-94,34","-18,87","-721,70","-1070,75","-14,15","-99,06","-2231,13"
"-37,74","-235,85","-94,34","-18,87","-716,98","-1056,60","-9,43","-94,34","-2264,15"
"-37,74","-278,30","-99,06","-18,87","-707,55","-1047,17","-4,72","-103,77","-2297,17"
"-37,74","-306,60","-108,49","-18,87","-693,40","-1042,45","0,00","-94,34","-2301,89"
"-28,30","-330,19","-108,49","-18,87","-698,11","-1047,17","0,00","-99,06","-2330,19"
"-28,30","-339,62","-108,49","-18,87","-683,96","-1018,87","0,00","-99,06","-2297,17"
"-28,30","-339,62","-113,21","-18,87","-669,81","-966,98","9,43","-89,62","-2216,98"
"-23,58","-353,77","-117,92","-18,87","-660,38","-933,96","14,15","-94,34","-2188,68"
"-28,30","-349,06","-113,21","-18,87","-650,94","-863,21","18,87","-94,34","-2099,06"
"-28,30","-344,34","-127,36","-18,87","-636,79","-792,45","23,58","-94,34","-2018,87"
"-33,02","-344,34","-127,36","-14,15","-636,79","-735,85","28,30","-99,06","-1962,26"
"-42,45","-339,62","-132,08","-14,15","-622,64","-650,94","33,02","-103,77","-1872,64"
"-47,17","-334,91","-136,79","0,00","-622,64","-608,49","42,45","-103,77","-1811,32"
"-51,89","-325,47","-136,79","0,00","-627,36","-547,17","42,45","-103,77","-1750,00"
"-56,60","-325,47","-146,23","0,00","-617,92","-481,13","47,17","-94,34","-1674,53"
"-61,32","-316,04","-146,23","0,00","-622,64","-419,81","51,89","-94,34","-1608,49"
"-66,04","-316,04","-146,23","0,00","-622,64","-363,21","56,60","-94,34","-1551,89"
"-75,47","-306,60","-150,94","14,15","-622,64","-297,17","61,32","-103,77","-1481,13"
