"PIB réel (Dollars des É-U, PPA convertis, Millions, 2015)",Tout,2605311.75,2532841.0,2583777.25,2644265.0,2647255.25,2667111.0,2693568.75,2722169.25,2745296.5,2804507.5,2853947.75,2909948.0,2696954.5,2876696.25
"PIB réel par habitant (Dollars des É-U par personne, PPA convertis, 2015)",Tout,40623.46,39294.0,39889.62,40626.43,40476.05,40573.09,40641.28,40927.15,41165.93,41931.35,42516.87,43206.4,39932.11,42467.44
Taux de change nominal (Monnaie nationale par dollar des É-U),Tout,0.68,0.72,0.75,0.72,0.78,0.75,0.75,0.9,0.9,0.89,0.85,0.89,0.88,0.85
Parité de pouvoir d'achat (Monnaie nationale par dollar des É-U),Tout,0.88,0.86,0.85,0.84,0.84,0.81,0.81,0.81,0.78,0.77,0.76,0.71,0.69,0.69
Technologie et innovation: Brevets (Inventions pour 1 000 000 d'habitants),Tout,19.96,22.69,23.94,26.34,27.54,26.42,25.67,24.82,21.84,23.42,26.05,27.5,26.34,15.48
Technologie et innovation: Brevets (Pourcentage d'inventions résidentes),Tout,11.28,12.91,13.35,14.13,15.03,14.38,13.89,13.69,12.44,13.18,14.65,15.64,16.23,9.23
Technologie et innovation: Brevets (Pourcentage d'inventions liées à l'environnement dans le monde),Tout,4.12,4.22,3.89,4.05,4.16,4.04,4.03,3.94,3.33,3.44,3.73,4.1,3.74,2.37
"Budget public de RD-D consacré à l'énergie (Pourcentage du PIB, 2015)",Tout,0.09,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.09
Dépense nationale de protection de l'environnement (Pourcentage du PIB),Tout,1.88,1.97,2.0,1.99,2.01,2.02,1.98,1.92,1.91,1.91,1.94,1.96,2.0,2.01
Budget public de R-D consacré à l’environnement (Pourcentage des allocations gouvernementales pour la R&D),Tout,2.29,2.1,2.57,1.51,1.77,1.93,1.72,3.32,1.7,1.82,1.77,1.45,1.84,2.89
Budget public de RD-D consacré aux énergies renouvelables (Pourcentage du budget de RD&D dans l'énergie publique),Tout,10.8,15.49,12.74,14.63,14.32,15.96,16.12,16.83,15.93,13.42,13.14,12.7,12.14,11.35
Budget public de RD-D consacré aux combustibles fossiles (excluant CSC) (Pourcentage du budget de RD&D dans l'énergie publique),Tout,9.73,8.36,8.9,4.71,5.28,5.45,5.91,6.14,4.27,3.1,2.04,1.03,1.18,0.89
Croissance de la productivité multifactorielle corrigée des incidences environnementales (en %),Tout,-0.26,-1.13,1.44,2.48,0.41,0.2,,,,,,,,
Contribution du capital naturel à la croissance (en %),Tout,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Ajustement de la lutte contre la pollution (en %),Tout,0.45,0.96,-0.08,1.06,0.16,0.06,,,,,,,,
Développement de technologies liées à l'environnement (indice),Tout,1.03,1.05,1.02,1.07,1.15,1.16,1.13,1.15,1.02,1.08,1.21,1.36,1.36,0.84
"PIB réel (indice, Millions, 2000)",Tout,135.05,131.38,135.46,139.95,141.72,143.9,146.16,149.4,151.46,155.52,159.85,165.06,157.33,170.21
Déflateur du PIB (Indice 2015),Tout,94.45,94.51,95.53,96.43,97.55,98.31,98.87,100.0,100.53,101.04,102.05,103.35,106.29,107.81
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),"Agriculture, sylviculture et pêch",1.58,1.37,1.67,1.73,1.71,1.52,1.64,1.69,1.51,1.62,1.73,1.59,1.65,1.66
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Industrie (sauf construction),20.74,20.01,19.59,19.75,19.54,19.67,19.43,19.36,19.06,18.91,18.92,19.12,18.34,18.23
Valeur ajoutée (Pourcentage de la valeur ajoutée brute),Services,77.67,78.62,78.74,78.51,78.75,78.81,78.93,78.96,79.43,79.47,79.35,79.29,80.01,80.11
Population active en France,Tout,28828000.0,28961000.0,28961000.0,28985000.0,29229000.0,29375000.0,29396000.0,29494000.0,29550000.0,29587000.0,29700000.0,29626000.0,29626000.0,30093000.0
Total,Tout,35493625.68,35767205.26,36123198.42,36241444.44,36489501.1,36719999.589999996,36768002.16,36936755.43,37050112.62,37265137.56,37574625.78,37715061.269999996,37557215.75,38752791.52
