Domaine,Année,Nombre d'emplois (prédit)
Eco-activités,2022,633050.6973039671
Eco-activités,2023,638620.4378968771
Eco-activités,2024,644190.178489787
Eco-activités,2025,649759.919082697
Eco-activités,2026,655329.659675607
Eco-activités,2027,660899.400268517
Eco-activités,2028,666469.140861427
Eco-activités,2029,672038.8814543369
Eco-activités,2030,677608.6220472469
Eco-activités,2031,683178.362640155
Eco-activités,2032,688748.103233065
Eco-activités,2033,694317.843825975
Eco-activités,2034,699887.584418885
Eco-activités,2035,705457.3250117949
Eco-activités,2036,711027.0656047049
Eco-activités,2037,716596.8061976149
Eco-activités,2038,722166.5467905249
Eco-activités,2039,727736.2873834348
Eco-activités,2040,733306.0279763448
Eco-activités,2041,738875.7685692548
Eco-activités,2042,744445.5091621648
Eco-activités,2043,750015.2497550729
Eco-activités,2044,755584.9903479828
Eco-activités,2045,761154.7309408928
Eco-activités,2046,766724.4715338028
Eco-activités,2047,772294.2121267128
Eco-activités,2048,777863.9527196228
Eco-activités,2049,783433.6933125327
Eco-activités,2050,789003.4339054427
Protection de l'environnement,2022,342711.39081146906
Protection de l'environnement,2023,350550.01434823463
Protection de l'environnement,2024,358388.6378850002
Protection de l'environnement,2025,366227.2614217658
Protection de l'environnement,2026,374065.88495853136
Protection de l'environnement,2027,381904.50849529693
Protection de l'environnement,2028,389743.1320320625
Protection de l'environnement,2029,397581.7555688281
Protection de l'environnement,2030,405420.37910559366
Protection de l'environnement,2031,413259.00264235924
Protection de l'environnement,2032,421097.6261791248
Protection de l'environnement,2033,428936.2497158885
Protection de l'environnement,2034,436774.8732526541
Protection de l'environnement,2035,444613.4967894197
Protection de l'environnement,2036,452452.12032618525
Protection de l'environnement,2037,460290.7438629508
Protection de l'environnement,2038,468129.3673997164
Protection de l'environnement,2039,475967.990936482
Protection de l'environnement,2040,483806.61447324755
Protection de l'environnement,2041,491645.2380100131
Protection de l'environnement,2042,499483.8615467787
Protection de l'environnement,2043,507322.4850835443
Protection de l'environnement,2044,515161.10862030985
Protection de l'environnement,2045,522999.7321570754
Protection de l'environnement,2046,530838.355693841
Protection de l'environnement,2047,538676.9792306066
Protection de l'environnement,2048,546515.6027673722
Protection de l'environnement,2049,554354.2263041377
Protection de l'environnement,2050,562192.8498409033
Air,2022,11209.976955876748
Air,2023,11594.497692850713
Air,2024,11979.018429824679
Air,2025,12363.539166798644
Air,2026,12748.059903772493
Air,2027,13132.580640746459
Air,2028,13517.101377720424
Air,2029,13901.62211469439
Air,2030,14286.142851668355
Air,2031,14670.663588642205
Air,2032,15055.18432561617
Air,2033,15439.705062590136
Air,2034,15824.225799564101
Air,2035,16208.746536538067
Air,2036,16593.267273511916
Air,2037,16977.78801048588
Air,2038,17362.308747459847
Air,2039,17746.829484433812
Air,2040,18131.350221407778
Air,2041,18515.870958381627
Air,2042,18900.391695355593
Air,2043,19284.91243232956
Air,2044,19669.433169303524
Air,2045,20053.95390627749
Air,2046,20438.47464325134
Air,2047,20822.995380225304
Air,2048,21207.51611719927
Air,2049,21592.036854173235
Air,2050,21976.5575911472
Eaux_usées,2022,52127.2930758469
Eaux_usées,2023,51532.95120024534
Eaux_usées,2024,50938.60932464378
Eaux_usées,2025,50344.26744904222
Eaux_usées,2026,49749.92557344066
Eaux_usées,2027,49155.5836978391
Eaux_usées,2028,48561.241822237775
Eaux_usées,2029,47966.899946636215
Eaux_usées,2030,47372.558071034655
Eaux_usées,2031,46778.216195433095
Eaux_usées,2032,46183.874319831535
Eaux_usées,2033,45589.532444229975
Eaux_usées,2034,44995.190568628415
Eaux_usées,2035,44400.848693026855
Eaux_usées,2036,43806.50681742553
Eaux_usées,2037,43212.16494182397
Eaux_usées,2038,42617.82306622241
Eaux_usées,2039,42023.48119062085
Eaux_usées,2040,41429.13931501929
Eaux_usées,2041,40834.79743941773
Eaux_usées,2042,40240.45556381617
Eaux_usées,2043,39646.11368821461
Eaux_usées,2044,39051.77181261328
Eaux_usées,2045,38457.42993701172
Eaux_usées,2046,37863.08806141016
Eaux_usées,2047,37268.7461858086
Eaux_usées,2048,36674.40431020704
Eaux_usées,2049,36080.06243460548
Eaux_usées,2050,35485.72055900392
Déchets,2022,103168.84502971244
Déchets,2023,103909.02436700721
Déchets,2024,104649.20370430198
Déchets,2025,105389.38304159675
Déchets,2026,106129.56237889153
Déchets,2027,106869.7417161863
Déchets,2028,107609.9210534813
Déchets,2029,108350.10039077608
Déchets,2030,109090.27972807085
Déchets,2031,109830.45906536562
Déchets,2032,110570.63840266039
Déchets,2033,111310.81773995516
Déchets,2034,112050.99707724994
Déchets,2035,112791.17641454471
Déchets,2036,113531.35575183948
Déchets,2037,114271.53508913449
Déchets,2038,115011.71442642926
Déchets,2039,115751.89376372403
Déchets,2040,116492.0731010188
Déchets,2041,117232.25243831358
Déchets,2042,117972.43177560835
Déchets,2043,118712.61111290312
Déchets,2044,119452.79045019812
Déchets,2045,120192.9697874929
Déchets,2046,120933.14912478767
Déchets,2047,121673.32846208244
Déchets,2048,122413.50779937721
Déchets,2049,123153.68713667199
Déchets,2050,123893.86647396676
Déchets_radio,2022,2558.6244460930866
Déchets_radio,2023,2438.926753191201
Déchets_radio,2024,2319.2290602892863
Déchets_radio,2025,2199.5313673874007
Déchets_radio,2026,2079.833674485515
Déchets_radio,2027,1960.1359815836004
Déchets_radio,2028,1840.4382886817148
Déchets_radio,2029,1720.7405957798292
Déchets_radio,2030,1601.0429028779145
Déchets_radio,2031,1481.3452099760289
Déchets_radio,2032,1361.6475170741141
Déchets_radio,2033,1241.9498241722285
Déchets_radio,2034,1122.252131270343
Déchets_radio,2035,1002.5544383684282
Déchets_radio,2036,882.8567454665426
Déchets_radio,2037,763.1590525646279
Déchets_radio,2038,643.4613596627423
Déchets_radio,2039,523.7636667608567
Déchets_radio,2040,404.065973858942
Déchets_radio,2041,284.3682809570564
Déchets_radio,2042,164.6705880551417
Déchets_radio,2043,44.972895153256104
Déchets_radio,2044,-74.7247977486295
Déchets_radio,2045,-194.4224906505442
Déchets_radio,2046,-314.1201835524298
Déchets_radio,2047,-433.8178764543445
Déchets_radio,2048,-553.5155693562301
Déchets_radio,2049,-673.2132622581157
Déchets_radio,2050,-792.9109551600304
