Domaine,R2,R2 ajusté,P-valeur (F-stat)
Eco-activités,0.825786887665511,0.8244819205319194,4.833837850831691e-102
Protection de l'environnement,0.9385892736104133,0.9381292681692929,1.7006122154079986e-162
Air,0.6062228757519696,0.6032732343718346,9.245693256383933e-55
Eaux_usées,0.5721635241819731,0.5689587565728493,5.9646834072823555e-50
Déchets,0.5253956655986405,0.5218405769514393,6.169954650552132e-44
Déchets_radio,0.4137398102880616,0.40934834819284105,1.0966523189384302e-31
Sols et masses d'eau,0.944363977339486,0.9439472281060739,3.1991607132517194e-168
Bruit,0.5831193271803029,0.5799966255112414,1.8688313234029802e-51
"Nature, biodiversité, paysages",0.8726037612408452,0.871649482298829,3.454672747692639e-120
Gestion des ressources naturelles,0.5962853340465732,0.593261254151791,2.5760203705056545e-53
gestion_eau,0.01091338789747398,0.00350449941730524,0.23109054763059783
gestion_forêt,0.31831702413430796,0.31321078461471474,6.070952499604422e-23
recup,0.681953358717336,0.6795709868725219,3.824050458478825e-67
EnR,0.4224323544004447,0.41810600499520456,1.4927304055583552e-32
Maîtrise énergie,0.5954306026941444,0.5924001203173215,3.4164046528853915e-53
Activités transversales,0.03020957382540801,0.02294522606380056,0.016653236060118974
Ingénierie,0.17493687777787537,0.16875662967134253,7.0963983448871015e-12
R&D,0.004943622359423583,-0.002509983465599497,0.5160197125904993
Serv gaux,0.012140464467201073,0.004740767571824289,0.1957982067284407
Activités périphériques,0.7644698921169761,0.7627056216459422,1.4729857288623595e-84
Gestion des espaces verts,0.7883979790857479,0.7868129452212217,9.055132009305695e-91
Transports longue distance,0.2556675775144267,0.2500920537504898,7.60126855070274e-18
Transports urbains et suburbains,0.9411216494217529,0.9406806130878335,6.152863665966391e-165
Total général,0.08894181558406633,0.08554867523242404,1.3744583658656344e-11
Protection des sols et des masses d'eau,0.944363977339486,0.9439472281060739,3.1991607132517194e-168
Maîtrise de l'énergie,0.5954306026941444,0.5924001203173215,3.4164046528853915e-53
Energies renouvelables,0.4224323544004447,0.41810600499520456,1.4927304055583552e-32
Collecte et traitement des déchets,0.5253956655986405,0.5218405769514393,6.169954650552132e-44
Gestion des eaux usées,0.5721635241819731,0.5689587565728493,5.9646834072823555e-50
Administration générale relative à l'environnement,0.012140464467201073,0.004740767571824289,0.1957982067284407
Récupération de matériaux de recyclage,0.681953358717336,0.6795709868725219,3.824050458478825e-67
Protection de la biodiversité et des paysages,0.8726037612408452,0.871649482298829,3.454672747692639e-120
R & D environnementale,0.004943622359423583,-0.002509983465599497,0.5160197125904993
Ingénierie environnementale,0.17493687777787537,0.16875662967134253,7.0963983448871015e-12
Protection de l'air extérieur,0.6062228757519696,0.6032732343718346,9.245693256383933e-55
Gestion durable de la forêt,0.31831702413430796,0.31321078461471474,6.070952499604422e-23
Lutte contre le bruit,0.5831193271803029,0.5799966255112414,1.8688313234029802e-51
Gestion des ressources en eau,0.01091338789747398,0.00350449941730524,0.23109054763059783
Protection contre les radiations,0.4137398102880616,0.40934834819284105,1.0966523189384302e-31
Tout,0.0010219109433325935,0.0006195028510640466,0.07900919503642277
"Agriculture, sylviculture et pêch",0.07470033376260388,0.06776925012037616,3.152834223966527e-05
Industrie (sauf construction),0.867826322440809,0.8668362574403656,4.708190294567695e-118
Services,0.8515995672424009,0.8504879535138796,2.4355376608035224e-111
